date,description,category
1999-11-23,air,Tagihan
1999-11-23,bioskop,Hiburan
1999-11-23,lain-lain,Lainnya
1999-11-23,prkr,Tagihan
1999-11-23,fee adm,Lainnya
1999-11-23,byaya adm,Lainnya
1999-11-24,sabun,Belanja
1999-11-24,warns,Makanan & Minuman
1999-11-24,biya admn,Lainnya
1999-11-24,sore jajn,Makanan & Minuman
1999-11-24,alfamrt,Belanja
1999-11-25,top up game,Hiburan
1999-11-25,prkr,Tagihan
1999-11-25,invst,Investasi
1999-11-25,air,Tagihan
1999-11-25,ngopi pagi,Makanan & Minuman
1999-11-25,dfapur dapur stock,Belanja
1999-11-26,mfain ke mall,Hiburan
1999-11-26,lain-lani,Lainnya
1999-11-26,isi game,Hiburan
1999-11-26,warnas,Makanan & Minuman
1999-11-26,go-food,Makanan & Minuman
1999-11-26,prkir,Tagihan
1999-11-26,kbtuhn pkk,Belanja
1999-11-26,gaji blan,Gaji
1999-11-27,mkan siang,Makanan & Minuman
1999-11-27,air,Tagihan
1999-11-27,go-food,Makanan & Minuman
1999-11-27,ngopi pagi,Makanan & Minuman
1999-11-27,sabun,Belanja
1999-11-27,biya admin,Lainnya
1999-11-27,inodmrt,Belanja
1999-11-27,lain-lan,Lainnya
1999-11-27,isi uplsa,Tagihan
1999-11-27,tbungan,Investasi
1999-11-28,mkn siang,Makanan & Minuman
1999-11-28,gofood,Makanan & Minuman
1999-11-28,cemilan,Makanan & Minuman
1999-11-28,lain-lakin,Lainnya
1999-11-28,pkir,Tagihan
1999-11-28,listrki,Tagihan
1999-11-29,ggame up top,Hiburan
1999-11-29,sabun,Belanja
1999-11-29,alfamart,Belanja
1999-11-29,prkr,Tagihan
1999-11-29,lnja mingguan,Belanja
1999-11-29,bya adm,Lainnya
1999-11-29,alfamart,Belanja
1999-11-29,bioskop,Hiburan
1999-11-30,lstriik,Tagihan
1999-11-30,kpi pagi,Makanan & Minuman
1999-11-30,mingguan stock dapur,Belanja
1999-11-30,kebutun pokok,Belanja
1999-11-30,kpi pagi,Makanan & Minuman
1999-11-30,bpjs,Tagihan
1999-11-30,lain-lain,Lainnya
1999-11-30,side job,Gaji
1999-11-30,lain-lan,Lainnya
1999-12-01,lain-lain,Lainnya
1999-12-01,biaya adnm,Lainnya
1999-12-01,isi pusa,Tagihan
1999-12-01,cemilan,Makanan & Minuman
1999-12-01,gfood,Makanan & Minuman
1999-12-01,biaya adm,Lainnya
1999-12-01,insendtif,Gaji
1999-12-01,kebutuan pokok,Belanja
1999-12-02,bonus,Gaji
1999-12-02,pulsa,Tagihan
1999-12-02,lain-lain,Lainnya
1999-12-02,pls,Tagihan
1999-12-02,sabun,Belanja
1999-12-02,indomrt,Belanja
1999-12-02,main ke mall,Hiburan
1999-12-02,main ke msall,Hiburan
1999-12-02,alpamart,Belanja
1999-12-03,gofood,Makanan & Minuman
1999-12-03,bonus,Gaji
1999-12-03,main ke mgall,Hiburan
1999-12-03,topup gam,Hiburan
1999-12-03,listrik,Tagihan
1999-12-03,jajn sosre,Makanan & Minuman
1999-12-03,tsisue,Belanja
1999-12-03,bnga bank,Investasi
1999-12-03,biokop,Hiburan
1999-12-03,pulsa,Tagihan
1999-12-04,pkrir,Tagihan
1999-12-04,fee amin,Lainnya
1999-12-04,bioskop,Hiburan
1999-12-04,togpup gam,Hiburan
1999-12-04,bioskop,Hiburan
1999-12-04,isi pulsa,Tagihan
1999-12-04,side job,Gaji
1999-12-05,tisue,Belanja
1999-12-05,isi pulsa,Tagihan
1999-12-05,gofud,Makanan & Minuman
1999-12-05,cemilan,Makanan & Minuman
1999-12-05,pbjs,Tagihan
1999-12-05,isi game,Hiburan
1999-12-06,bioskop,Hiburan
1999-12-06,insentif,Gaji
1999-12-06,wifi,Tagihan
1999-12-06,streming,Hiburan
1999-12-06,dpt cashback,Investasi
1999-12-06,biaya admin,Lainnya
1999-12-06,mkn malam,Makanan & Minuman
1999-12-06,iternet,Tagihan
1999-12-06,baiya admn,Lainnya
1999-12-06,lain-lain,Lainnya
1999-12-06,lain-lain,Lainnya
1999-12-07,alfa,Belanja
1999-12-07,sabun,Belanja
1999-12-07,lain-lain,Lainnya
1999-12-07,lain-lain,Lainnya
1999-12-07,jajann sore,Makanan & Minuman
1999-12-08,nabung,Investasi
1999-12-08,netflixan,Hiburan
1999-12-08,mall ke mafin,Hiburan
1999-12-08,nanem modal,Investasi
1999-12-08,main ke mall,Hiburan
1999-12-08,tissue,Belanja
1999-12-08,sabun,Belanja
1999-12-08,lan-lain,Lainnya
1999-12-08,indomart,Belanja
1999-12-08,air,Tagihan
1999-12-08,siang mkn,Makanan & Minuman
1999-12-09,alfamart,Belanja
1999-12-09,prkfir,Tagihan
1999-12-09,bonus,Gaji
1999-12-09,prkir,Tagihan
1999-12-09,ngopi pagi,Makanan & Minuman
1999-12-09,inet,Tagihan
1999-12-10,lain-lain,Lainnya
1999-12-10,biya adm,Lainnya
1999-12-10,sabun,Belanja
1999-12-10,admin bya,Lainnya
1999-12-10,warung nasi,Makanan & Minuman
1999-12-10,fee adm,Lainnya
1999-12-10,isi game,Hiburan
1999-12-10,gajian,Gaji
1999-12-11,ke main all,Hiburan
1999-12-11,striming,Hiburan
1999-12-12,lainl-ain,Lainnya
1999-12-12,main ke mall,Hiburan
1999-12-12,tissu,Belanja
1999-12-12,lain-lain,Lainnya
1999-12-12,ke mll main,Hiburan
1999-12-12,iuran blnan,Tagihan
1999-12-12,main ke all,Hiburan
1999-12-13,gofodd,Makanan & Minuman
1999-12-13,alfamtr,Belanja
1999-12-13,mam asiang,Makanan & Minuman
1999-12-13,nyemil ore,Makanan & Minuman
1999-12-13,isi agme,Hiburan
1999-12-13,fee admn,Lainnya
1999-12-13,bpjs,Tagihan
1999-12-13,bioskop,Hiburan
1999-12-14,iuran blnan,Tagihan
1999-12-14,biya admin,Lainnya
1999-12-14,wrg nasi,Makanan & Minuman
1999-12-14,token,Tagihan
1999-12-14,lain-lain,Lainnya
1999-12-15,byaya admn,Lainnya
1999-12-15,lain-lain,Lainnya
1999-12-15,jajan sore,Makanan & Minuman
1999-12-15,iurn bln,Tagihan
1999-12-15,biya adm,Lainnya
1999-12-15,top up game,Hiburan
1999-12-15,stock dapur mingguan,Belanja
1999-12-15,insentif,Gaji
1999-12-16,topup gam,Hiburan
1999-12-16,tissu,Belanja
1999-12-16,cemilan,Makanan & Minuman
1999-12-16,ggame isi,Hiburan
1999-12-17,tp up game,Hiburan
1999-12-17,jalpamart,Belanja
1999-12-17,kpi pagi,Makanan & Minuman
1999-12-17,sabun,Belanja
1999-12-17,lstrk,Tagihan
1999-12-18,air,Tagihan
1999-12-18,makan malam,Makanan & Minuman
1999-12-18,main ke mall,Hiburan
1999-12-18,lstrk,Tagihan
1999-12-18,alpamart,Belanja
1999-12-18,mam malam,Makanan & Minuman
1999-12-18,mkan siang,Makanan & Minuman
1999-12-18,boskop,Hiburan
1999-12-18,bya admn,Lainnya
1999-12-19,pulsa,Tagihan
1999-12-19,mkn siang,Makanan & Minuman
1999-12-19,main ke mall,Hiburan
1999-12-19,lain-lain,Lainnya
1999-12-19,bonus,Gaji
1999-12-20,lain-lain,Lainnya
1999-12-20,lain-lain,Lainnya
1999-12-20,insentif,Gaji
1999-12-20,amin ke mall,Hiburan
1999-12-20,bioskop,Hiburan
1999-12-20,ngopi pagi,Makanan & Minuman
1999-12-21,stock mingguan dapur,Belanja
1999-12-21,fee admn,Lainnya
1999-12-21,mingguaan blanja,Belanja
1999-12-21,stcok dapur mingguan,Belanja
1999-12-22,pls,Tagihan
1999-12-22,cemilan,Makanan & Minuman
1999-12-22,adm byia,Lainnya
1999-12-22,ftisu,Belanja
1999-12-22,game isi,Hiburan
1999-12-22,alfamrt,Belanja
1999-12-22,sabun,Belanja
1999-12-22,bulanan iuran,Tagihan
1999-12-23,kebutuan pokk,Belanja
1999-12-23,lain-lain,Lainnya
1999-12-23,maksi,Makanan & Minuman
1999-12-23,belanja kebutuhan mingguan,Belanja
1999-12-23,bpjs,Tagihan
1999-12-24,mkn siang,Makanan & Minuman
1999-12-24,biaya adm,Lainnya
1999-12-24,sabun,Belanja
1999-12-25,lain-lain,Lainnya
1999-12-25,insentif,Gaji
1999-12-25,indomrt,Belanja
1999-12-25,streming,Hiburan
1999-12-25,warung nasi,Makanan & Minuman
1999-12-25,gofud,Makanan & Minuman
1999-12-25,kopi pagi,Makanan & Minuman
1999-12-25,bps,Tagihan
1999-12-25,fee admn,Lainnya
1999-12-26,main ke mall,Hiburan
1999-12-26,bonus,Gaji
1999-12-26,alfgamrt,Belanja
1999-12-26,indomrt,Belanja
1999-12-26,internet,Tagihan
1999-12-26,game isi,Hiburan
1999-12-27,ke mall main,Hiburan
1999-12-28,inves,Investasi
1999-12-28,tissue,Belanja
1999-12-28,air,Tagihan
1999-12-28,lstrk,Tagihan
1999-12-28,admin byaya,Lainnya
1999-12-29,byaya admin,Lainnya
1999-12-29,iuran balnan,Tagihan
1999-12-29,isi ulsa,Tagihan
1999-12-29,gaji bln,Gaji
1999-12-30,parkir,Tagihan
1999-12-30,lain-dlain,Lainnya
1999-12-30,cemilan,Makanan & Minuman
1999-12-30,side job,Gaji
1999-12-30,air,Tagihan
1999-12-30,mkn alam,Makanan & Minuman
1999-12-31,lain-lain,Lainnya
1999-12-31,idm,Belanja
1999-12-31,byaya adm,Lainnya
1999-12-31,pulsa,Tagihan
1999-12-31,netflixan,Hiburan
1999-12-31,cemilan,Makanan & Minuman
1999-12-31,alfamart,Belanja
1999-12-31,gajian,Gaji
1999-12-31,streming,Hiburan
2000-01-01,pokok keb.,Belanja
2000-01-01,air,Tagihan
2000-01-01,bya admain,Lainnya
2000-01-01,token,Tagihan
2000-01-01,wartg,Makanan & Minuman
2000-01-01,ibaya admn,Lainnya
2000-01-01,mam malam,Makanan & Minuman
2000-01-01,mkn malam,Makanan & Minuman
2000-01-01,listrik,Tagihan
2000-01-02,itsu,Belanja
2000-01-02,nabung,Investasi
2000-01-02,lain-lain,Lainnya
2000-01-03,lstriik,Tagihan
2000-01-03,isi game,Hiburan
2000-01-03,bya admin,Lainnya
2000-01-03,streaming,Hiburan
2000-01-04,kbtuhna pokok,Belanja
2000-01-04,bioskop,Hiburan
2000-01-04,msain ke mall,Hiburan
2000-01-04,tisue,Belanja
2000-01-04,cemilan,Makanan & Minuman
2000-01-04,indhomart,Belanja
2000-01-05,cash back,Investasi
2000-01-05,pokko kbtuhan,Belanja
2000-01-05,warnas,Makanan & Minuman
2000-01-05,sabun,Belanja
2000-01-06,sabun,Belanja
2000-01-06,malam makan,Makanan & Minuman
2000-01-06,cemilan,Makanan & Minuman
2000-01-06,kbioskop,Hiburan
2000-01-06,biya adm,Lainnya
2000-01-06,cashbk,Investasi
2000-01-06,tissue,Belanja
2000-01-06,bioskop,Hiburan
2000-01-07,dpt cashback,Investasi
2000-01-07,bpjs,Tagihan
2000-01-07,dlain-lain,Lainnya
2000-01-07,issu,Belanja
2000-01-07,keb. pokok,Belanja
2000-01-08,listrik,Tagihan
2000-01-08,ismpanan,Investasi
2000-01-08,lain-lain,Lainnya
2000-01-08,alfa,Belanja
2000-01-08,air,Tagihan
2000-01-08,pulsa isi,Tagihan
2000-01-08,warnas,Makanan & Minuman
2000-01-08,snack sore,Makanan & Minuman
2000-01-08,air,Tagihan
2000-01-09,jajan sore,Makanan & Minuman
2000-01-09,idm,Belanja
2000-01-09,streming,Hiburan
2000-01-09,fee admn,Lainnya
2000-01-09,bpjs,Tagihan
2000-01-10,topup gam,Hiburan
2000-01-10,listrik,Tagihan
2000-01-10,bya adm,Lainnya
2000-01-10,lain-lain,Lainnya
2000-01-10,bioskop,Hiburan
2000-01-10,topup gam,Hiburan
2000-01-10,opud,Makanan & Minuman
2000-01-11,nabung,Investasi
2000-01-11,main mall ke,Hiburan
2000-01-11,lin-lain,Lainnya
2000-01-11,lstrk,Tagihan
2000-01-11,srteaming,Hiburan
2000-01-11,dwifi,Tagihan
2000-01-11,iuran byr,Tagihan
2000-01-12,aksi,Makanan & Minuman
2000-01-12,interest,Investasi
2000-01-12,sabun,Belanja
2000-01-12,netflixan,Hiburan
2000-01-12,blnja mingguan,Belanja
2000-01-12,netflixan,Hiburan
2000-01-12,alfamrt,Belanja
2000-01-12,byaya admin,Lainnya
2000-01-12,lstriik,Tagihan
2000-01-12,lain-lain,Lainnya
2000-01-12,insentif,Gaji
2000-01-12,gfood,Makanan & Minuman
2000-01-12,bayya adm,Lainnya
2000-01-13,lain-lain,Lainnya
2000-01-13,tbungan,Investasi
2000-01-13,biaya admin,Lainnya
2000-01-13,sabun,Belanja
2000-01-13,sabun,Belanja
2000-01-14,biaya admn,Lainnya
2000-01-14,lain-lain,Lainnya
2000-01-14,snack sore,Makanan & Minuman
2000-01-14,mam siang,Makanan & Minuman
2000-01-14,kpi-kopi pagi,Makanan & Minuman
2000-01-15,cemilan,Makanan & Minuman
2000-01-15,indomaret,Belanja
2000-01-15,mam malam,Makanan & Minuman
2000-01-15,warteg,Makanan & Minuman
2000-01-15,pagi kopi-kopi,Makanan & Minuman
2000-01-15,main ke mall,Hiburan
2000-01-16,mkan malam,Makanan & Minuman
2000-01-16,tissu,Belanja
2000-01-16,bulanan belanja dapur,Belanja
2000-01-16,gofodd,Makanan & Minuman
2000-01-16,gaji bln,Gaji
2000-01-16,sabun,Belanja
2000-01-16,admn biya,Lainnya
2000-01-16,top up game,Hiburan
2000-01-16,lain-lain,Lainnya
2000-01-16,blanja dapur,Belanja
2000-01-17,cashbk,Investasi
2000-01-17,biya adm,Lainnya
2000-01-17,mkn malam,Makanan & Minuman
2000-01-17,isi game,Hiburan
2000-01-17,tissu,Belanja
2000-01-18,idm,Belanja
2000-01-18,netflian,Hiburan
2000-01-18,lain-lain,Lainnya
2000-01-18,kbtuhan pokok,Belanja
2000-01-18,indomart,Belanja
2000-01-19,malam makan,Makanan & Minuman
2000-01-19,isi game,Hiburan
2000-01-19,gaji bln,Gaji
2000-01-19,snack ore,Makanan & Minuman
2000-01-20,tokne,Tagihan
2000-01-20,lain-lain,Lainnya
2000-01-20,gohfodd,Makanan & Minuman
2000-01-20,investasi,Investasi
2000-01-20,moadl nanem,Investasi
2000-01-21,adm bya,Lainnya
2000-01-21,kejb. pokok,Belanja
2000-01-21,siang mam,Makanan & Minuman
2000-01-21,bnga bank,Investasi
2000-01-21,token,Tagihan
2000-01-21,biokop,Hiburan
2000-01-21,streming,Hiburan
2000-01-21,swarnas,Makanan & Minuman
2000-01-21,ala,Belanja
2000-01-22,lain-lain,Lainnya
2000-01-22,warung asi,Makanan & Minuman
2000-01-22,sbelanja blnn mingguan,Belanja
2000-01-22,ke mall main,Hiburan
2000-01-22,pagi kpi,Makanan & Minuman
2000-01-22,wrg nasi,Makanan & Minuman
2000-01-22,go-food,Makanan & Minuman
2000-01-22,token,Tagihan
2000-01-22,income blnn,Gaji
2000-01-22,byr iuran,Tagihan
2000-01-23,alfamart,Belanja
2000-01-23,kpi pagi,Makanan & Minuman
2000-01-23,lsrtiik,Tagihan
2000-01-23,indomart,Belanja
2000-01-24,rpkir,Tagihan
2000-01-24,bioskop,Hiburan
2000-01-24,biaya adm,Lainnya
2000-01-24,maksi,Makanan & Minuman
2000-01-24,alfamart,Belanja
2000-01-24,cemfilan,Makanan & Minuman
2000-01-24,alfamart,Belanja
2000-01-24,isi game,Hiburan
2000-01-24,gofodd,Makanan & Minuman
2000-01-24,bya addmn,Lainnya
2000-01-24,idm,Belanja
2000-01-24,air,Tagihan
2000-01-25,insentif,Gaji
2000-01-25,lain-lain,Lainnya
2000-01-25,gpud,Makanan & Minuman
2000-01-25,top up game,Hiburan
2000-01-25,makan sidang,Makanan & Minuman
2000-01-26,pagi ngopi,Makanan & Minuman
2000-01-26,isi pulsa,Tagihan
2000-01-26,main ke mall,Hiburan
2000-01-26,striming,Hiburan
2000-01-26,cemilan,Makanan & Minuman
2000-01-26,inves,Investasi
2000-01-27,pagi kpi,Makanan & Minuman
2000-01-27,byaya admn,Lainnya
2000-01-27,bayar parkir,Tagihan
2000-01-27,lain-lain,Lainnya
2000-01-27,isi game,Hiburan
2000-01-27,alpamart,Belanja
2000-01-28,mkn siang,Makanan & Minuman
2000-01-28,lain-lain,Lainnya
2000-01-28,prr,Tagihan
2000-01-28,sabun,Belanja
2000-01-28,boiskop,Hiburan
2000-01-29,adm biaya,Lainnya
2000-01-29,admin byaya,Lainnya
2000-01-29,biaya afdmn,Lainnya
2000-01-29,prkr,Tagihan
2000-01-29,parkir,Tagihan
2000-01-29,cemilan,Makanan & Minuman
2000-01-30,kgopi-kopi pai,Makanan & Minuman
2000-01-30,dapur stock mingguan,Belanja
2000-01-30,lstrik,Tagihan
2000-01-30,ain ke mall,Hiburan
2000-01-30,inodmart,Belanja
2000-01-30,kbtuhn pkk,Belanja
2000-01-31,ives,Investasi
2000-01-31,tp game up,Hiburan
2000-01-31,netlixan,Hiburan
2000-01-31,bnga bnk,Investasi
2000-01-31,air,Tagihan
2000-01-31,tp up jgame,Hiburan
2000-02-01,listrik,Tagihan
2000-02-01,proyekan,Gaji
2000-02-01,biosokp,Hiburan
2000-02-01,cash back,Investasi
2000-02-01,biokop,Hiburan
2000-02-01,bonus,Gaji
2000-02-01,belanja ebutuhan mngguan,Belanja
2000-02-01,internetan,Tagihan
2000-02-02,lain-lain,Lainnya
2000-02-02,jhajan sore,Makanan & Minuman
2000-02-02,air,Tagihan
2000-02-02,cemilan,Makanan & Minuman
2000-02-03,internetan,Tagihan
2000-02-03,isi game,Hiburan
2000-02-03,main ke mall,Hiburan
2000-02-03,prkir,Tagihan
2000-02-03,topup gam,Hiburan
2000-02-03,lnja mingguan,Belanja
2000-02-03,ngopi pagi,Makanan & Minuman
2000-02-03,tissu,Belanja
2000-02-03,streaming,Hiburan
2000-02-03,biya admin,Lainnya
2000-02-04,lain-lain,Lainnya
2000-02-04,snack sore,Makanan & Minuman
2000-02-04,proyekan,Gaji
2000-02-04,main ke mall,Hiburan
2000-02-04,gfood,Makanan & Minuman
2000-02-04,biaya adm,Lainnya
2000-02-04,biya admin,Lainnya
2000-02-04,simpanan,Investasi
2000-02-04,isi game,Hiburan
2000-02-04,ke main mall,Hiburan
2000-02-04,sore jajn,Makanan & Minuman
2000-02-05,bya adm,Lainnya
2000-02-05,gfood,Makanan & Minuman
2000-02-05,idm,Belanja
2000-02-05,lain-lain,Lainnya
2000-02-05,fee adm,Lainnya
2000-02-05,yaya adin,Lainnya
2000-02-06,alpamart,Belanja
2000-02-06,sabun,Belanja
2000-02-06,laain-lain,Lainnya
2000-02-06,indoamret,Belanja
2000-02-06,bioskop,Hiburan
2000-02-06,ssabun,Belanja
2000-02-06,byaya adlmn,Lainnya
2000-02-06,dapur blanja,Belanja
2000-02-07,warnas,Makanan & Minuman
2000-02-07,etflixan,Hiburan
2000-02-07,intrnet,Tagihan
2000-02-07,iuran lblnan,Tagihan
2000-02-07,cashback dpt,Investasi
2000-02-07,streaming,Hiburan
2000-02-07,admin bya,Lainnya
2000-02-07,main ke mall,Hiburan
2000-02-07,parkir,Tagihan
2000-02-08,nabung,Investasi
2000-02-08,bpjs,Tagihan
2000-02-08,bunga rek,Investasi
2000-02-08,air,Tagihan
2000-02-08,nasi wrg,Makanan & Minuman
2000-02-08,bnaga bank,Investasi
2000-02-08,internetan,Tagihan
2000-02-08,warteg,Makanan & Minuman
2000-02-08,tp up game,Hiburan
2000-02-09,main ke mall,Hiburan
2000-02-09,indomrt,Belanja
2000-02-09,idm,Belanja
2000-02-09,gofud,Makanan & Minuman
2000-02-10,idnomart,Belanja
2000-02-10,kpi pagi,Makanan & Minuman
2000-02-10,tp up gaem,Hiburan
2000-02-10,blyaya admin,Lainnya
2000-02-11,wii,Tagihan
2000-02-11,pulsa,Tagihan
2000-02-11,makna siang,Makanan & Minuman
2000-02-11,inet,Tagihan
2000-02-11,fee adm,Lainnya
2000-02-11,sabun,Belanja
2000-02-11,ogfud,Makanan & Minuman
2000-02-11,bioskop,Hiburan
2000-02-12,byaya admn,Lainnya
2000-02-12,listrik,Tagihan
2000-02-12,tabungan,Investasi
2000-02-12,gopud,Makanan & Minuman
2000-02-12,byaya adm,Lainnya
2000-02-12,biyaa sadmn,Lainnya
2000-02-13,gfood,Makanan & Minuman
2000-02-13,bpjs,Tagihan
2000-02-13,tissu,Belanja
2000-02-13,go-food,Makanan & Minuman
2000-02-14,gofgodd,Makanan & Minuman
2000-02-14,baya amdn,Lainnya
2000-02-14,invst,Investasi
2000-02-15,amin ke mall,Hiburan
2000-02-15,kbtuhn pkk,Belanja
2000-02-15,tissu,Belanja
2000-02-15,cemilan,Makanan & Minuman
2000-02-15,gfood,Makanan & Minuman
2000-02-15,pls,Tagihan
2000-02-15,bya adm,Lainnya
2000-02-15,gofodd,Makanan & Minuman
2000-02-15,idm,Belanja
2000-02-15,idomart,Belanja
2000-02-16,blnan iuran,Tagihan
2000-02-16,lain-lkain,Lainnya
2000-02-16,tabungan,Investasi
2000-02-16,streaming,Hiburan
2000-02-16,sbun,Belanja
2000-02-16,insentif,Gaji
2000-02-16,admn fee,Lainnya
2000-02-17,bonus,Gaji
2000-02-17,main ke mlal,Hiburan
2000-02-17,bya adjmn,Lainnya
2000-02-17,makan malam,Makanan & Minuman
2000-02-17,jajanan ore,Makanan & Minuman
2000-02-17,alpamart,Belanja
2000-02-18,striming,Hiburan
2000-02-18,insentif,Gaji
2000-02-18,strdeming,Hiburan
2000-02-18,striming,Hiburan
2000-02-18,main ke mall,Hiburan
2000-02-18,blnja mingguan,Belanja
2000-02-18,bioskop,Hiburan
2000-02-18,bayar parkir,Tagihan
2000-02-18,main ke mall,Hiburan
2000-02-18,lain-lain,Lainnya
2000-02-19,indomrt,Belanja
2000-02-19,biya adm,Lainnya
2000-02-19,wrg nais,Makanan & Minuman
2000-02-19,nyemil sore,Makanan & Minuman
2000-02-19,air,Tagihan
2000-02-19,gaji blnan,Gaji
2000-02-19,stremig,Hiburan
2000-02-19,gopud,Makanan & Minuman
2000-02-19,lain-lain,Lainnya
2000-02-19,mani mlal ke,Hiburan
2000-02-19,fee adm,Lainnya
2000-02-20,sabun,Belanja
2000-02-20,topup gam,Hiburan
2000-02-20,lain-lain,Lainnya
2000-02-21,alfamrt,Belanja
2000-02-21,bayar parkir,Tagihan
2000-02-21,isi game,Hiburan
2000-02-21,topup gam,Hiburan
2000-02-21,nabung,Investasi
2000-02-21,biya admn,Lainnya
2000-02-21,lstrk,Tagihan
2000-02-21,netflixan,Hiburan
2000-02-21,sabun,Belanja
2000-02-22,pls,Tagihan
2000-02-22,bpjs,Tagihan
2000-02-22,indomart,Belanja
2000-02-22,alpamart,Belanja
2000-02-22,tsissu,Belanja
2000-02-22,cemilan,Makanan & Minuman
2000-02-23,air,Tagihan
2000-02-23,idm,Belanja
2000-02-23,admn bya,Lainnya
2000-02-24,sabun,Belanja
2000-02-24,air,Tagihan
2000-02-24,main ke mall,Hiburan
2000-02-24,cemilan,Makanan & Minuman
2000-02-24,lstk,Tagihan
2000-02-24,streming,Hiburan
2000-02-24,mkn malam,Makanan & Minuman
2000-02-24,alfamart,Belanja
2000-02-25,cb,Investasi
2000-02-25,listrik,Tagihan
2000-02-25,biya admn,Lainnya
2000-02-25,sabun,Belanja
2000-02-25,intrnet,Tagihan
2000-02-25,bioskop,Hiburan
2000-02-25,isi game,Hiburan
2000-02-25,wrg naasi,Makanan & Minuman
2000-02-25,go-food,Makanan & Minuman
2000-02-26,bioskop,Hiburan
2000-02-26,lain-lain,Lainnya
2000-02-26,biaya amdn,Lainnya
2000-02-27,lain-lain,Lainnya
2000-02-27,pls,Tagihan
2000-02-27,iuran blnn,Tagihan
2000-02-27,adm biaya,Lainnya
2000-02-27,main mall ke,Hiburan
2000-02-27,blanja mingguan,Belanja
2000-02-27,warsung nasi,Makanan & Minuman
2000-02-27,lain-lain,Lainnya
2000-02-28,prr,Tagihan
2000-02-28,snack sore,Makanan & Minuman
2000-02-28,idm,Belanja
2000-02-28,fee admn,Lainnya
2000-02-28,gajji blnan,Gaji
2000-02-28,netflhixan,Hiburan
2000-02-29,lain-lain,Lainnya
2000-02-29,bpjs,Tagihan
2000-02-29,prkir,Tagihan
2000-02-29,lain-lain,Lainnya
2000-02-29,kheb. pokok,Belanja
2000-02-29,ke mall main,Hiburan
2000-02-29,bunga abnk,Investasi
2000-03-01,cemilan,Makanan & Minuman
2000-03-01,alin-lain,Lainnya
2000-03-01,lain-lain,Lainnya
2000-03-01,paketan,Tagihan
2000-03-01,cemilan,Makanan & Minuman
2000-03-02,lain-lain,Lainnya
2000-03-02,bioskop,Hiburan
2000-03-02,bioskop,Hiburan
2000-03-02,bioskop,Hiburan
2000-03-02,lain-alin,Lainnya
2000-03-02,mkn malam,Makanan & Minuman
2000-03-03,tojpup gam,Hiburan
2000-03-03,wifi,Tagihan
2000-03-03,bnga bjank,Investasi
2000-03-03,pokok kebutuan,Belanja
2000-03-03,nyemil sore,Makanan & Minuman
2000-03-03,proyekan,Gaji
2000-03-03,bpjs,Tagihan
2000-03-03,air,Tagihan
2000-03-03,sabun,Belanja
2000-03-04,fee admn,Lainnya
2000-03-04,mkan malam,Makanan & Minuman
2000-03-04,top up game,Hiburan
2000-03-04,air,Tagihan
2000-03-05,insentif,Gaji
2000-03-05,kpi pahgi,Makanan & Minuman
2000-03-05,cemilan,Makanan & Minuman
2000-03-05,lain-lain,Lainnya
2000-03-05,topup gam,Hiburan
2000-03-05,token,Tagihan
2000-03-05,cashbk,Investasi
2000-03-05,bioskop,Hiburan
2000-03-05,air,Tagihan
2000-03-05,kpi pagi,Makanan & Minuman
2000-03-05,air,Tagihan
2000-03-05,hsabun,Belanja
2000-03-06,akan malam,Makanan & Minuman
2000-03-06,warnas,Makanan & Minuman
2000-03-06,bonus,Gaji
2000-03-06,internet,Tagihan
2000-03-06,byaya hadmin,Lainnya
2000-03-07,streaming,Hiburan
2000-03-07,gopud,Makanan & Minuman
2000-03-08,cashback,Investasi
2000-03-08,tjisue,Belanja
2000-03-08,bisokop,Hiburan
2000-03-08,alfamart,Belanja
2000-03-08,blnn iukran,Tagihan
2000-03-08,parkir,Tagihan
2000-03-08,lain-lain,Lainnya
2000-03-09,makan malam,Makanan & Minuman
2000-03-09,striming,Hiburan
2000-03-09,bpjs,Tagihan
2000-03-09,streming,Hiburan
2000-03-09,kopi-kopi pagi,Makanan & Minuman
2000-03-09,prkr,Tagihan
2000-03-10,isi game,Hiburan
2000-03-10,malam mam,Makanan & Minuman
2000-03-10,admn byaya,Lainnya
2000-03-10,isue,Belanja
2000-03-10,bpjs,Tagihan
2000-03-10,bioksop,Hiburan
2000-03-10,mam malam,Makanan & Minuman
2000-03-10,blnn aincome,Gaji
2000-03-10,streaming,Hiburan
2000-03-10,mkn siang,Makanan & Minuman
2000-03-11,bonus,Gaji
2000-03-11,nyemhil sore,Makanan & Minuman
2000-03-13,cemilan,Makanan & Minuman
2000-03-13,byaya adlmn,Lainnya
2000-03-13,lain-lain,Lainnya
2000-03-13,lain-lain,Lainnya
2000-03-14,tisu,Belanja
2000-03-14,parkir baar,Tagihan
2000-03-14,netflixan,Hiburan
2000-03-15,lain-lain,Lainnya
2000-03-15,bya adm,Lainnya
2000-03-15,freelance roject,Gaji
2000-03-15,streming,Hiburan
2000-03-15,byaya admn,Lainnya
2000-03-15,cemilan,Makanan & Minuman
2000-03-15,byaya admin,Lainnya
2000-03-15,streaming,Hiburan
2000-03-15,biya admin,Lainnya
2000-03-15,fee adm,Lainnya
2000-03-16,gfood,Makanan & Minuman
2000-03-16,isi gaem,Hiburan
2000-03-16,indomaret,Belanja
2000-03-16,fwarteg,Makanan & Minuman
